id;Enseignes;Latitude;Longitude;CP;Adresse;Ville;Type
61700003;Carrefour Market;4858500.0;-64700.0;61700;16 Rue du Mont Margantin;Domfront;R
62100011;Carrefour Market;5094000.0;187900.0;62100;2 Route de Saint-Omer;CALAIS;R
62101001;Carrefour;5095000.0;189300.0;62100;Avenue Georges Guynemer;CALAIS;R
62116001;Carrefour Contact;5014800.0;271700.0;62116;62 RUE DE DIERVILLE;Bucquoy;R
62120001;Carrefour;5063519.77;241067.56;62120;Centre commercial du val de Lys;Aire-sur-la-Lys;R
62123003;Carrefour Contact;5024200.0;266000.0;62123;Rue Nationale;Beaumetz-lès-Loges;R
62126001;Carrefour Market;5076535.0;161844.0;62126;99 Rue Raoul Lebeurre;WIMILLE;R
62128006;Carrefour Contact;5019500.0;288800.0;62128;21 Rue du Pont;Croisilles;R
62134001;Carrefour Contact;5044700.0;225100.0;62134;73 RUE D.HESDIN;ANVIN;R
62138002;Carrefour;5051000.0;278400.0;62138;ZAC DES FLANDRES;AUCHY-LES-MINES;R
62140001;Carrefour Market;5037100.0;202700.0;62140;ROUTE DE MONTREUIL;MARCONNELLE;R
62150002;Carrefour Contact;5045400.0;253200.0;62150;68 RUE DE LA GARE;HOUDAIN;R
62152001;Carrefour Market;5063000.0;164600.0;62152;ROUTE DE BOULOGNE;NESLES;R
62156002;Carrefour Contact;5024610.85;294152.06;62156;2 rue de Cherisy;Vis en Artois;R
62160001;Carrefour Market;5044300.0;269600.0;62160;Impasse de l'Épinette;AIX-NOULETTE;R
62160002;Carrefour Market;5044800.0;272000.0;62160;18 rue Casimir Beugnet;BULLY-LES-MINES;R
62161001;Carrefour Contact;5032800.0;271300.0;62161;Rue de Neuville;MAROEUIL;R
62170002;Carrefour Market;5044800.0;174900.0;62170;Rue de Paris;CAMPIGNEULLES-LES-PETITES;R
62180004;Carrefour Market;5040154.8;165032.437;62180;LES ALLEES;VERTON;R
62210001;Carrefour Market;5041400.0;283500.0;62210;14 Rue René Lannoy;Avion;R
62215006;Carrefour Contact;5097854.1402708;204248.54466965;62215;PLACE DE GENERAL DE GAULLE;Oye-Plage;R
62217001;Carrefour Market;5026572.3865055;279856.87314238;62217;rue Bleuets;BEAURAINS;R
62232002;Carrefour Market;5054055.2606169;260780.70661317;62232;2 RUE DU RENOUVEAU;VENDIN LES BETHUNE;R
62240004;Carrefour Market;5066900.0;182400.0;62240;ROUTE DE BOULOGNE;Desvres;R
